Time,Photoresistor,Humidity,Temperature,CO2,Soil_Moisture
17:9:54,542,41.2,23.1,532,152
17:9:55,233,41.2,23.1,532,152
17:9:56,163,41.1,23.1,533,152
17:9:57,155,41.1,23.1,533,152
17:9:58,154,41.4,23.1,533,150
17:9:59,159,41.4,23.1,533,150
17:10:0,160,41.5,23.1,533,150
17:10:1,159,41.5,23.1,533,150
17:10:2,158,41.6,23.1,533,150
17:10:3,158,41.6,23.1,533,150
17:10:4,158,41.6,23.1,534,150
17:10:5,157,41.6,23.1,534,150
17:10:6,157,41.4,23.1,535,150
17:10:7,157,41.4,23.1,535,151
17:10:8,157,41.4,23.1,535,151
17:10:9,157,41.4,23.1,535,151
17:10:10,156,41.3,23.1,535,150
17:10:11,156,41.3,23.1,536,150
17:10:12,156,41.2,23.1,536,151
17:10:13,156,41.2,23.1,537,151
17:10:14,156,41.2,23.1,538,152
17:10:15,153,41.2,23.1,539,152
17:10:16,152,41.2,23.1,539,152
17:10:17,151,41.2,23.1,539,152
17:10:18,152,41.1,23.1,538,152
17:10:20,152,41.1,23.1,538,152
17:10:21,152,41.4,23.1,537,152
17:10:22,152,41.4,23.1,537,152
17:10:23,152,41.3,23.1,537,152
17:10:24,152,41.3,23.1,538,152
17:10:25,152,41.1,23.1,538,152
17:10:26,153,41.1,23.1,539,152
17:10:27,153,41.1,23.1,539,152
17:10:28,153,41.1,23.1,539,152
17:10:29,153,41.0,23.1,539,152
17:10:30,153,41.0,23.1,539,152
17:10:31,153,41.0,23.1,537,150
17:10:32,158,41.0,23.1,537,150
17:10:33,160,40.9,23.1,537,150
17:10:34,159,40.9,23.1,537,150
17:10:35,158,40.9,23.1,537,150
17:10:36,158,40.9,23.1,536,151
17:10:37,158,40.8,23.1,536,151
17:10:38,157,40.8,23.1,536,151
17:10:39,157,40.8,23.1,535,151
17:10:40,157,40.8,23.1,536,151
17:10:41,157,40.8,23.1,536,151
17:10:42,157,40.8,23.1,535,151
17:10:43,157,40.8,23.1,535,151
17:10:44,157,40.8,23.1,535,151
17:10:45,156,40.9,23.1,534,150
17:10:46,156,40.9,23.1,534,151
17:10:47,156,41.0,23.1,535,152
17:10:48,153,41.0,23.1,535,152
17:10:49,152,40.9,23.0,534,152
17:10:50,151,40.9,23.0,534,152
17:10:51,152,40.9,23.1,534,152
17:10:52,152,40.9,23.1,534,152
17:10:53,152,40.9,23.1,533,152
17:10:55,152,40.9,23.1,533,152
17:10:56,152,40.9,23.1,534,152
17:10:57,153,40.9,23.1,534,152
17:10:58,153,40.9,23.0,533,152
17:10:59,153,40.9,23.0,533,152
17:11:0,153,41.0,23.1,533,152
17:11:1,153,41.0,23.1,533,152
17:11:2,154,41.0,23.1,533,152
17:11:3,154,41.0,23.1,532,152
17:11:4,156,41.0,23.1,533,150
17:11:5,161,41.0,23.1,533,150
17:11:6,160,41.1,23.1,532,150
17:11:7,159,41.1,23.1,532,150
17:11:8,159,41.2,23.0,532,151
17:11:9,158,41.2,23.0,533,151
17:11:10,158,41.3,23.1,532,151
17:11:11,157,41.3,23.1,532,150
17:11:12,157,41.4,23.1,532,151
17:11:13,157,41.4,23.1,532,151
17:11:14,157,41.5,23.0,532,151
17:11:15,157,41.5,23.0,531,151
17:11:16,157,41.5,23.1,531,151
17:11:17,156,41.5,23.1,531,151
17:11:18,156,41.5,23.1,532,151
17:11:19,156,41.5,23.1,531,151
17:11:20,156,41.4,23.0,531,152
17:11:21,153,41.4,23.0,530,152
17:11:22,151,41.4,23.0,530,152
17:11:23,152,41.4,23.0,529,152
17:11:24,152,41.4,23.1,529,152
17:11:25,152,41.4,23.1,529,152
17:11:26,152,41.6,23.1,528,152
17:11:27,152,41.6,23.1,528,152
17:11:28,152,41.9,23.0,528,152
17:11:30,152,41.9,23.0,528,152
17:11:31,153,42.2,23.0,527,152
17:11:32,153,42.2,23.0,527,152
17:11:33,153,42.8,23.1,527,152
17:11:34,153,42.8,23.1,526,152
17:11:35,153,43.2,23.1,526,152
17:11:36,154,43.2,23.1,526,152
17:11:37,154,43.3,23.1,526,150
17:11:38,158,43.3,23.1,526,150
17:11:39,160,43.3,23.1,526,150
17:11:40,159,43.3,23.1,526,150
17:11:41,159,43.4,23.1,525,151
17:11:42,158,43.4,23.1,525,150
17:11:43,158,43.4,23.1,525,150
17:11:44,158,43.4,23.1,524,151
17:11:45,158,43.3,23.1,524,150
17:11:46,157,43.3,23.1,525,150
17:11:47,156,43.3,23.1,524,151
17:11:48,156,43.3,23.1,524,151
