Time,Photoresistor,Humidity,Temperature,CO2,Soil_Moisture
17:53:0,554,41.5,23.2,539,151
17:53:1,239,41.5,23.2,539,152
17:53:2,167,41.8,23.2,539,151
17:53:3,157,41.8,23.2,539,151
17:53:5,156,41.8,23.2,539,151
17:53:6,155,41.8,23.2,539,151
17:53:7,155,41.9,23.2,539,151
17:53:8,155,41.9,23.2,540,151
17:53:9,155,42.0,23.2,540,151
17:53:10,154,42.0,23.2,541,151
17:53:11,154,42.0,23.2,541,151
17:53:12,154,42.0,23.2,542,151
17:53:13,154,42.1,23.2,542,153
17:53:14,150,42.1,23.2,542,153
17:53:15,149,42.1,23.2,543,153
17:53:16,149,42.1,23.2,543,153
17:53:17,149,42.0,23.2,544,153
17:53:18,150,42.0,23.2,544,153
17:53:19,150,41.9,23.2,545,153
17:53:20,150,41.9,23.2,545,153
17:53:21,150,41.8,23.2,546,153
17:53:22,151,41.8,23.2,546,153
17:53:23,151,41.8,23.2,547,153
17:53:24,151,41.8,23.2,547,153
17:53:25,151,41.7,23.2,548,153
17:53:26,151,41.7,23.2,548,153
17:53:27,151,41.6,23.2,549,153
17:53:28,151,41.6,23.2,550,153
17:53:29,151,41.6,23.2,551,150
17:53:31,159,41.5,23.2,551,151
17:53:32,158,41.5,23.2,553,151
17:53:33,157,41.5,23.2,553,151
17:53:34,156,41.5,23.2,554,151
17:53:35,156,41.4,23.1,554,151
17:53:36,156,41.4,23.1,554,151
17:53:38,155,41.4,23.2,555,151
17:53:40,155,41.4,23.1,555,151
17:53:41,155,41.4,23.1,556,151
17:53:42,155,41.4,23.2,556,151
17:53:43,154,41.4,23.2,557,151
17:53:44,154,41.4,23.2,557,151
17:53:45,154,41.4,23.2,558,151
17:53:46,154,41.4,23.2,559,152
17:53:47,150,41.4,23.2,559,153
17:53:48,149,41.3,23.1,560,153
17:53:49,150,41.3,23.1,560,153
17:53:50,149,41.3,23.1,561,153
17:53:51,150,41.3,23.1,561,153
17:53:52,150,41.3,23.1,561,153
17:53:53,150,41.3,23.1,562,153
17:53:54,150,41.4,23.2,562,153
17:53:55,150,41.4,23.2,563,153
17:53:56,151,41.4,23.2,564,153
17:53:57,151,41.4,23.2,564,153
17:53:58,151,41.4,23.1,565,153
17:53:59,151,41.4,23.1,565,153
17:54:0,152,41.4,23.1,566,153
17:54:1,151,41.4,23.1,566,153
17:54:2,151,41.4,23.1,566,153
17:54:3,152,41.4,23.1,567,151
17:54:4,157,41.4,23.1,569,151
17:54:5,157,41.4,23.1,569,151
17:54:6,157,41.4,23.1,569,151
17:54:7,156,41.4,23.1,570,151
17:54:8,156,41.4,23.1,570,151
17:54:9,156,41.4,23.1,570,151
17:54:10,155,41.4,23.1,571,151
17:54:11,155,41.4,23.1,571,151
17:54:12,155,41.4,23.1,572,151
17:54:13,155,41.4,23.1,573,151
17:54:15,155,41.4,23.1,573,151
17:54:16,154,41.4,23.1,574,151
17:54:17,155,41.4,23.1,574,151
17:54:18,154,41.4,23.1,574,151
17:54:19,154,41.4,23.1,575,151
17:54:20,154,41.4,23.1,575,153
17:54:21,151,41.4,23.1,575,153
17:54:22,149,41.4,23.1,575,153
17:54:23,149,41.4,23.1,576,153
17:54:24,150,41.4,23.1,577,153
17:54:25,150,41.4,23.1,577,153
17:54:26,150,41.4,23.1,578,153
17:54:27,149,41.4,23.1,578,153
17:54:28,151,41.4,23.1,578,153
17:54:29,151,41.5,23.1,578,153
17:54:30,151,41.5,23.1,579,153
17:54:31,151,41.4,23.1,579,153
17:54:32,151,41.4,23.1,579,153
17:54:33,151,41.5,23.1,580,153
17:54:34,152,41.5,23.1,580,153
17:54:35,152,41.5,23.1,581,153
17:54:36,151,41.5,23.1,582,151
17:54:37,156,41.5,23.1,582,151
17:54:38,158,41.5,23.1,582,151
17:54:39,157,41.5,23.1,582,151
17:54:40,156,41.5,23.1,583,151
17:54:41,156,41.5,23.1,583,151
17:54:42,155,41.5,23.1,583,151
17:54:43,155,41.5,23.1,584,151
17:54:44,155,41.5,23.1,584,151
17:54:45,155,41.5,23.1,584,151
17:54:46,155,41.5,23.1,585,151
17:54:47,155,41.5,23.1,585,151
17:54:48,155,41.5,23.1,585,151
17:54:50,155,41.5,23.1,586,151
17:54:51,155,41.5,23.1,586,151
17:54:52,154,41.5,23.1,586,151
17:54:53,153,41.5,23.1,587,153
17:54:54,150,41.7,23.1,588,153
17:54:55,150,41.7,23.1,588,153
