Time,Photoresistor,Humidity,Temperature,CO2,Soil_Moisture
18:2:5,544,41.9,23.2,594,153
18:2:6,233,41.9,23.2,594,153
18:2:7,161,42.0,23.2,594,153
18:2:8,153,42.0,23.2,594,153
18:2:9,159,41.9,23.1,595,151
18:2:10,160,41.9,23.1,595,151
18:2:11,158,41.9,23.1,595,151
18:2:12,157,41.9,23.1,595,151
18:2:13,157,41.9,23.1,595,151
18:2:15,156,41.9,23.1,596,151
18:2:16,156,41.9,23.1,596,151
18:2:17,156,41.9,23.1,596,151
18:2:18,155,41.9,23.1,596,151
18:2:19,155,41.9,23.1,596,151
18:2:20,155,41.9,23.1,596,151
18:2:21,155,41.9,23.1,596,151
18:2:22,155,41.9,23.1,597,151
18:2:23,155,41.9,23.1,597,151
18:2:24,155,41.9,23.1,597,151
18:2:25,154,41.9,23.1,597,151
18:2:26,156,42.0,23.1,596,153
18:2:27,151,42.0,23.1,596,153
18:2:28,150,42.0,23.1,597,153
18:2:29,150,42.0,23.1,597,153
18:2:30,150,42.1,23.1,597,153
18:2:31,151,42.1,23.1,597,153
18:2:32,151,42.1,23.1,597,153
18:2:33,151,42.1,23.1,598,153
18:2:34,151,42.1,23.1,598,153
18:2:35,151,42.1,23.1,598,153
18:2:36,151,42.0,23.1,598,153
18:2:37,151,42.0,23.1,599,153
18:2:38,152,42.0,23.1,599,153
18:2:39,152,42.0,23.1,599,153
18:2:40,152,42.0,23.1,599,153
18:2:41,152,42.0,23.1,600,153
18:2:42,152,42.0,23.1,600,151
18:2:43,156,42.0,23.1,600,151
18:2:44,158,42.1,23.1,600,151
18:2:45,157,42.1,23.1,600,151
18:2:46,157,42.1,23.1,601,151
18:2:47,156,42.1,23.1,601,151
18:2:48,156,42.0,23.1,601,151
18:2:50,156,42.0,23.1,601,151
18:2:51,156,42.0,23.1,601,151
18:2:52,156,42.0,23.1,601,151
18:2:53,155,41.9,23.1,601,151
18:2:54,155,41.9,23.1,602,151
18:2:55,155,41.9,23.1,602,151
18:2:56,155,41.9,23.1,603,151
18:2:57,155,42.0,23.1,603,151
18:2:58,155,42.0,23.1,604,151
18:2:59,155,42.3,23.1,604,153
18:3:0,152,42.3,23.1,604,153
18:3:1,150,42.5,23.1,604,153
18:3:2,150,42.5,23.1,604,153
18:3:3,151,42.4,23.1,605,153
18:3:4,151,42.4,23.1,605,153
18:3:5,151,42.6,23.1,606,153
18:3:6,151,42.6,23.1,606,153
18:3:7,150,42.7,23.1,607,153
18:3:8,151,42.7,23.1,607,153
18:3:9,151,42.9,23.1,608,153
18:3:10,151,42.9,23.1,608,153
18:3:11,152,43.0,23.1,609,153
18:3:12,152,43.0,23.1,609,153
18:3:13,152,42.9,23.1,610,153
18:3:14,152,42.9,23.1,610,153
18:3:15,152,42.8,23.1,611,151
18:3:16,157,42.8,23.1,611,151
18:3:17,158,42.7,23.1,611,151
18:3:18,157,42.7,23.1,612,151
18:3:19,157,42.7,23.1,612,151
18:3:20,157,42.7,23.1,612,151
18:3:21,156,42.7,23.1,612,151
18:3:22,156,42.7,23.1,613,151
18:3:23,156,42.7,23.1,613,151
18:3:25,156,42.7,23.1,613,151
18:3:26,156,42.8,23.1,613,151
18:3:27,155,42.8,23.1,614,151
18:3:28,155,43.0,23.1,614,151
18:3:29,155,43.0,23.1,614,151
18:3:30,155,43.2,23.1,614,151
18:3:31,155,43.2,23.1,614,151
18:3:32,155,43.3,23.1,614,153
18:3:33,151,43.3,23.1,615,153
18:3:34,150,43.3,23.1,615,153
18:3:35,150,43.3,23.1,615,153
18:3:36,151,43.2,23.1,616,153
18:3:37,150,43.2,23.1,616,153
18:3:38,151,43.2,23.1,616,153
18:3:39,151,43.2,23.1,616,153
18:3:40,151,43.2,23.1,616,153
18:3:41,151,43.2,23.1,616,153
18:3:42,151,43.2,23.1,616,153
18:3:43,152,43.2,23.1,617,153
18:3:44,152,43.2,23.1,617,153
18:3:45,152,43.2,23.1,617,153
18:3:46,152,43.2,23.1,617,153
18:3:47,152,43.2,23.1,617,153
18:3:48,152,43.1,23.1,617,151
18:3:49,157,43.1,23.1,618,151
18:3:50,159,43.0,23.1,618,151
18:3:51,158,43.0,23.1,618,151
18:3:52,157,43.0,23.1,618,151
18:3:53,157,43.0,23.1,618,151
18:3:54,156,42.9,23.1,618,151
18:3:55,156,42.9,23.1,618,151
18:3:56,156,42.9,23.1,618,151
18:3:57,156,42.9,23.1,619,151
18:3:58,155,42.8,23.1,619,151
18:4:0,156,42.8,23.1,619,151
